interbloque,diputado_apellido,diputado_nombre,diputado_distrito,diputado_bloque,periodo
INTERBLOQUE JUNTOS POR EL CAMBIO,SANTILLI, Diego ,BUENOS AIRES,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,SARAPURA, Natalia Silvina,JUJUY,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,SCHIAVONI, Alfredo Oscar,MISIONES,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,SOTOLANO, María ,BUENOS AIRES,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,STEFANI, Héctor Antonio,TIERRA DEL FUEGO,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,STILMAN, Mariana,BUENOS AIRES,COALICIÓN CÍVICA,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,STOLBIZER, Margarita ,BUENOS AIRES,ENCUENTRO FEDERAL,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,TACCETTA, Matias,CHUBUT,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,TAVELA, Danya ,BUENOS AIRES,EVOLUCIÓN RADICAL,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,TEJEDA, María Victoria,SANTA FE,EVOLUCIÓN RADICAL,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,TETAZ, Martín Alberto,CIUDAD AUTÓNOMA DE BUENOS AIRES,EVOLUCIÓN RADICAL,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,TONELLI, Pablo Gabriel,CIUDAD AUTÓNOMA DE BUENOS AIRES,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,TORELLO, Pablo,BUENOS AIRES,FRENTE PRO,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,TORTORIELLO, Aníbal,RÍO NEGRO,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,VARA, Jorge,CORRIENTES,U.C.R.,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,VERASAY, Pamela Fernanda,MENDOZA,U.C.R.,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,VIDAL, María Eugenia,CIUDAD AUTÓNOMA DE BUENOS AIRES,FRENTE PRO,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,YACOBITTI, Emiliano Benjamín,CIUDAD AUTÓNOMA DE BUENOS AIRES,EVOLUCIÓN RADICAL,2019-2023
INTERBLOQUE JUNTOS POR EL CAMBIO,ZAPATA, Carlos Raúl ,SALTA,AHORA PATRIA,2021-2025
INTERBLOQUE JUNTOS POR EL CAMBIO,ZUVIC, Mariana,CIUDAD AUTÓNOMA DE BUENOS AIRES,COALICIÓN CÍVICA,2019-2023
INTERBLOQUE FEDERAL,CAMAÑO, Graciela,BUENOS AIRES,IDENTIDAD BONAERENSE,2019-2023
INTERBLOQUE FEDERAL,DE LA SOTA, Natalia,CÓRDOBA,CÓRDOBA FEDERAL,2021-2025
INTERBLOQUE FEDERAL,ESTEVEZ, Enrique,SANTA FE,SOCIALISTA,2019-2023
INTERBLOQUE FEDERAL,FEIN, Mónica,SANTA FE,SOCIALISTA,2021-2025
INTERBLOQUE FEDERAL,GARCÍA ARESCA, Ignacio,CÓRDOBA,CÓRDOBA FEDERAL,2021-2025
INTERBLOQUE FEDERAL,GUTIÉRREZ, Carlos Mario,CÓRDOBA,CÓRDOBA FEDERAL,2019-2023
INTERBLOQUE FEDERAL,RANDAZZO, Florencio,BUENOS AIRES,IDENTIDAD BONAERENSE,2021-2025
INTERBLOQUE FEDERAL,RODRIGUEZ," Alejandro ""Topo""",BUENOS AIRES,IDENTIDAD BONAERENSE,2019-2023
INTERBLOQUE PROVINCIAS UNIDAS,DI GIACOMO, Luis,RÍO NEGRO,JUNTOS SOMOS RÍO NEGRO,2019-2023
INTERBLOQUE PROVINCIAS UNIDAS,DOMINGO, Agustín,RÍO NEGRO,JUNTOS SOMOS RÍO NEGRO,2021-2025
INTERBLOQUE PROVINCIAS UNIDAS,FERNÁNDEZ, Carlos Alberto ,MISIONES, FRENTE DE LA CONCORDIA MISIONERO,2021-2025
INTERBLOQUE PROVINCIAS UNIDAS,SARTORI, Diego Horacio,MISIONES, FRENTE DE LA CONCORDIA MISIONERO,2019-2023
INTERBLOQUE LA LIBERTAD AVANZA,MILEI, Javier Gerardo,CIUDAD AUTÓNOMA DE BUENOS AIRES,LA LIBERTAD AVANZA,2021-2025
INTERBLOQUE LA LIBERTAD AVANZA,PIPARO, Carolina ,BUENOS AIRES,BUENOS AIRES LIBRE,2021-2025
INTERBLOQUE LA LIBERTAD AVANZA,VILLARRUEL, Victoria ,CIUDAD AUTÓNOMA DE BUENOS AIRES,LA LIBERTAD AVANZA,2021-2025
