diputado_bloque,diputado_apellido,diputado_nombres,diputado_distrito,periodo
BLOQUE FRENTE DE TODOS,PAPONET, Liliana,MENDOZA,2021-2025
BLOQUE FRENTE DE TODOS,PAROLA, María Graciela,FORMOSA,2019-2023
BLOQUE FRENTE DE TODOS,PASSO, Marcela Fabiana,BUENOS AIRES,2021-2025
BLOQUE FRENTE DE TODOS,PEDRALI, Gabriela,LA RIOJA,2021-2025
BLOQUE FRENTE DE TODOS,PEDRINI, Juan Manuel,CHACO,2021-2025
BLOQUE FRENTE DE TODOS,PENACCA, Paula Andrea,CIUDAD AUTÓNOMA DE BUENOS AIRES,2019-2023 
BLOQUE FRENTE DE TODOS,PEREYRA, Julio,BUENOS AIRES,2021-2025
BLOQUE FRENTE DE TODOS,PEREZ ARAUJO, Hernan,LA PAMPA,2019-2023
BLOQUE FRENTE DE TODOS,PÉREZ PLAZA, Eber Albano,MENDOZA,2019-2023
BLOQUE FRENTE DE TODOS,PONCE, Carlos Ybrhain,SAN LUIS,2019-2023
BLOQUE FRENTE DE TODOS,PROPATO, Agustina Lucrecia,BUENOS AIRES,2021-2025
BLOQUE FRENTE DE TODOS,ROMERO, Jorge Antonio ,CORRIENTES,2021-2025
BLOQUE FRENTE DE TODOS,SAND, Nancy,CORRIENTES,2019-2023
BLOQUE FRENTE DE TODOS,SANTORO, Leandro ,CIUDAD AUTÓNOMA DE BUENOS AIRES,2021-2025
BLOQUE FRENTE DE TODOS,SELVA, Carlos Américo,BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,SILEY, Vanesa Raquel ,BUENOS AIRES,2021-2025
BLOQUE FRENTE DE TODOS,SOUTO, Natalia Marcela,BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,TAILHADE, Rodolfo,BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,TONIOLLI, Eduardo ,SANTA FE,2021-2025
BLOQUE FRENTE DE TODOS,UCEDA, Marisa Lourdes,MENDOZA,2019-2023
BLOQUE FRENTE DE TODOS,VALDES, Eduardo Félix,CIUDAD AUTÓNOMA DE BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,VARGAS MATYI, Brenda,BUENOS AIRES,2021-2025
BLOQUE FRENTE DE TODOS,VERÓN, Jorge Guillermo,SANTA CRUZ,2019-2023
BLOQUE FRENTE DE TODOS,VESSVESSIAN, Paola,SANTA CRUZ,2019-2023
BLOQUE FRENTE DE TODOS,YAMBRÚN, Liliana Patricia,BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,YAPOR, Lucio,BUENOS AIRES,2019-2023
BLOQUE FRENTE DE TODOS,YASKY, Hugo ,BUENOS AIRES,2021-2025
BLOQUE FRENTE DE TODOS,YUTROVIC, Carolina,TIERRA DEL FUEGO,2021-2025
BLOQUE FRENTE DE TODOS,ZABALA CHACUR, Natalia,SAN LUIS,2021-2025
BLOQUE FRENTE DE TODOS,ZARACHO, Natalia ,BUENOS AIRES,2019-2023
BLOQUE FRENTE PRO,AGOST CARREÑO, Oscar ,CÓRDOBA,2021-2025
BLOQUE FRENTE PRO,AJMECHET, Sabrina,CIUDAD AUTÓNOMA DE BUENOS AIRES,2021-2025
BLOQUE FRENTE PRO,ANGELINI, Federico,SANTA FE,2019-2023
BLOQUE FRENTE PRO,ASSEFF, Alberto,BUENOS AIRES,2019-2023
BLOQUE FRENTE PRO,BACHEY, Karina Ethel,SAN LUIS,2021-2025
BLOQUE FRENTE PRO,BALDASSI, Héctor W.,CÓRDOBA,2021-2025
BLOQUE FRENTE PRO,BESANA, Gabriela ,BUENOS AIRES,2021-2025
BLOQUE FRENTE PRO,BRAMBILLA, Sofia,CORRIENTES,2021-2025
BLOQUE FRENTE PRO,CHUMPITAZ, Gabriel Felipe,SANTA FE,2021-2025
BLOQUE FRENTE PRO,CORNEJO, Virginia,SALTA,2019-2023
BLOQUE FRENTE PRO,CRESCIMBENI, Camila,BUENOS AIRES,2019-2023
BLOQUE FRENTE PRO,DE MARCHI, Omar,MENDOZA,2019-2023
BLOQUE FRENTE PRO,EL SUKARIA, Soher,CÓRDOBA,2019-2023
BLOQUE FRENTE PRO,FIGUEROA CASAS, Germana,SANTA FE,2021-2025
BLOQUE FRENTE PRO,FINOCCHIARO, Alejandro ,BUENOS AIRES,2021-2025
BLOQUE FRENTE PRO,FRIGERIO, Federico ,TIERRA DEL FUEGO,2019-2023
BLOQUE FRENTE PRO,GONZÁLEZ, Álvaro Gustavo,CIUDAD AUTÓNOMA DE BUENOS AIRES,2019-2023
BLOQUE FRENTE PRO,HEIN, Gustavo René,ENTRE RÍOS,2019-2023
BLOQUE FRENTE PRO,IGLESIAS, Fernando Adolfo,CIUDAD AUTÓNOMA DE BUENOS AIRES,2021-2025
BLOQUE FRENTE PRO,JETTER, Ingrid,CORRIENTES,2019-2023
BLOQUE FRENTE PRO,JOURY, María de las Mercedes,BUENOS AIRES,2019-2023
BLOQUE FRENTE PRO,KLIPAUKA LEWTAK, Florencia,MISIONES,2021-2025
BLOQUE FRENTE PRO,LASPINA, Luciano Andrés,SANTA FE,2021-2025
BLOQUE FRENTE PRO,LOMBARDI, Hernán,BUENOS AIRES,2021-2025
BLOQUE FRENTE PRO,LOSPENNATO, Silvia Gabriela,BUENOS AIRES,2019-2023
BLOQUE FRENTE PRO,MAQUIEYRA, Martín,LA PAMPA,2021-2025
BLOQUE FRENTE PRO,MARTÍNEZ, Álvaro,MENDOZA,2021-2025
BLOQUE FRENTE PRO,MILMAN, Gerardo,BUENOS AIRES,2021-2025
BLOQUE FRENTE PRO,MORALES GORLERI, Victoria,CIUDAD AUTÓNOMA DE BUENOS AIRES,2019-2023
BLOQUE FRENTE PRO,NUÑEZ, José Carlos,SANTA FE,2019-2023
BLOQUE FRENTE PRO,OCAÑA, Graciela,BUENOS AIRES,2021-2025
BLOQUE FRENTE PRO,QUIROZ, Marilú,CHACO,2021-2025
BLOQUE FRENTE PRO,REY, María Luján,BUENOS AIRES,2019-2023
BLOQUE FRENTE PRO,REZINOVSKY, Dina,CIUDAD AUTÓNOMA DE BUENOS AIRES,2019-2023
BLOQUE FRENTE PRO,RITONDO, Cristian Adrián,BUENOS AIRES,2019-2023
BLOQUE FRENTE PRO,RODRÍGUEZ MACHADO, Laura,CÓRDOBA,2021-2025
BLOQUE FRENTE PRO,ROMERO, Ana Clara,CHUBUT,2021-2025
BLOQUE FRENTE PRO,RUARTE, Adriana Noemi,CÓRDOBA,2019-2023
BLOQUE FRENTE PRO,SÁNCHEZ, Francisco,NEUQUÉN,2019-2023
BLOQUE FRENTE PRO,SANTILLI, Diego ,BUENOS AIRES,2021-2025
BLOQUE FRENTE PRO,SCHIAVONI, Alfredo Oscar,MISIONES,2019-2023
BLOQUE FRENTE PRO,SOTOLANO, María ,BUENOS AIRES,2021-2025
BLOQUE FRENTE PRO,STEFANI, Héctor Antonio,TIERRA DEL FUEGO,2021-2025
BLOQUE FRENTE PRO,TACCETTA, Matias,CHUBUT,2019-2023
BLOQUE FRENTE PRO,TONELLI, Pablo Gabriel,CIUDAD AUTÓNOMA DE BUENOS AIRES,2019-2023
BLOQUE FRENTE PRO,TORELLO, Pablo,BUENOS AIRES,2019-2023
BLOQUE FRENTE PRO,TORTORIELLO, Aníbal,RÍO NEGRO,2021-2025
BLOQUE FRENTE PRO,VIDAL, María Eugenia,CIUDAD AUTÓNOMA DE BUENOS AIRES,2021-2025
BLOQUE U.C.R.,AGUIRRE, Manuel Ignacio,CORRIENTES,2021-2025
BLOQUE U.C.R.,ARJOL, Martín ,MISIONES,2021-2025
BLOQUE U.C.R.,ASCARATE, Lidia Inés,TUCUMÁN,2019-2023
BLOQUE U.C.R.,BANFI, Karina ,BUENOS AIRES,2019-2023
BLOQUE U.C.R.,BARLETTA, Mario,SANTA FE,2021-2025
BLOQUE U.C.R.,BAZZE, Miguel Ángel ,BUENOS AIRES,2019-2023
BLOQUE U.C.R.,BENEDETTI, Atilio,ENTRE RÍOS,2021-2025
BLOQUE U.C.R.,BURYAILE, Ricardo,FORMOSA,2019-2023
BLOQUE U.C.R.,CARASSO, Marcos Gustavo,CÓRDOBA,2019-2023
BLOQUE U.C.R.,CARBAJAL, Fernando,FORMOSA,2021-2025
BLOQUE U.C.R.,CARRIZO, Soledad,CÓRDOBA,2021-2025
BLOQUE U.C.R.,CIPOLINI, Gerardo,CHACO,2019-2023
BLOQUE U.C.R.,COBOS, Julio ,MENDOZA,2021-2025
BLOQUE U.C.R.,COLI, Marcela,LA PAMPA,2021-2025
BLOQUE U.C.R.,GALIMBERTI, Pedro Jorge,ENTRE RÍOS,2021-2025
BLOQUE U.C.R.,GARCÍA, Ximena,SANTA FE,2019-2023
BLOQUE U.C.R.,LATORRE, Jimena,MENDOZA,2019-2023
BLOQUE U.C.R.,LENA, Gabriela,ENTRE RÍOS,2019-2023
BLOQUE U.C.R.,MANES, Facundo ,BUENOS AIRES,2021-2025
BLOQUE U.C.R.,MARTÍN, Juan,SANTA FE,2019-2023
BLOQUE U.C.R.,MONTI, Francisco,CATAMARCA,2021-2025
BLOQUE U.C.R.,NANNI, Miguel,SALTA,2019-2023
BLOQUE U.C.R.,NEGRI, Mario Raúl,CÓRDOBA,2019-2023
BLOQUE U.C.R.,NIERI, Lisandro,MENDOZA,2019-2023
BLOQUE U.C.R.,POLINI, Juan Carlos,CHACO,2021-2025
BLOQUE U.C.R.,QUETGLAS, Fabio José,BUENOS AIRES,2021-2025
BLOQUE U.C.R.,REYES, Roxana,SANTA CRUZ,2021-2025
BLOQUE U.C.R.,RIZZOTTI," Jorge ""Colo""",JUJUY,2019-2023
BLOQUE U.C.R.,ROMERO, Victor Hugo,CÓRDOBA,2019-2023
BLOQUE U.C.R.,SALVADOR, Sebastián Nicolás,BUENOS AIRES,2019-2023
BLOQUE U.C.R.,SÁNCHEZ, Roberto Antonio,TUCUMÁN,2021-2025
BLOQUE U.C.R.,SARAPURA, Natalia Silvina,JUJUY,2021-2025
BLOQUE U.C.R.,VARA, Jorge,CORRIENTES,2019-2023
BLOQUE U.C.R.,VERASAY, Pamela Fernanda,MENDOZA,2021-2025
BLOQUE EVOLUCIÓN RADICAL,ÁNTOLA, Marcela,ENTRE RÍOS,2021-2025
BLOQUE EVOLUCIÓN RADICAL,BERHONGARAY, Martín Antonio,LA PAMPA,2019-2023
BLOQUE EVOLUCIÓN RADICAL,BROUWER DE KONING, Gabriela,CÓRDOBA,2021-2025
BLOQUE EVOLUCIÓN RADICAL,CACACE, Alejandro,SAN LUIS,2019-2023
BLOQUE EVOLUCIÓN RADICAL,CARRIZO, Ana Carla,CIUDAD AUTÓNOMA DE BUENOS AIRES,2021-2025
BLOQUE EVOLUCIÓN RADICAL,CERVI, Pablo,NEUQUÉN,2021-2025
BLOQUE EVOLUCIÓN RADICAL,DE LOREDO, Rodrigo ,CÓRDOBA,2021-2025
BLOQUE EVOLUCIÓN RADICAL,MARTÍNEZ, Dolores,CIUDAD AUTÓNOMA DE BUENOS AIRES,2019-2023
BLOQUE EVOLUCIÓN RADICAL,TAVELA, Danya ,BUENOS AIRES,2021-2025
BLOQUE EVOLUCIÓN RADICAL,TEJEDA, María Victoria,SANTA FE,2021-2025
BLOQUE EVOLUCIÓN RADICAL,TETAZ, Martín Alberto,CIUDAD AUTÓNOMA DE BUENOS AIRES,2021-2025
