acta_id,acta_detalle_id,diputado_nombre,persona_id,bloque,distrito_nombre,voto
97,150725,GUZMÁN Sandro Adrián, ,Frente Renovador ,Buenos Aires,AFIRMATIVO
97,150726,HARISPE Gastón, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150727,HELLER Carlos Salomón, ,Juntos por Argentina,C.A.B.A.,AFIRMATIVO
97,150728,HERRERA Griselda Noemí, ,Frente para la Victoria - PJ,La Rioja,AFIRMATIVO
97,150729,HERRERA José Alberto, ,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
97,150730,IANNI Ana María, ,Frente para la Victoria - PJ,Santa Cruz,AFIRMATIVO
97,150731,INSAURRALDE Martín, ,Frente para la Victoria - PJ,Buenos Aires,AUSENTE
97,150732,ISA Evita Nélida, ,Frente para la Victoria - PJ,Salta,AFIRMATIVO
97,150733,JAVKIN Pablo Lautaro, ,Coalición Cívica - ARI - UNEN,Santa Fe,ABSTENCION
97,150734,JUÁREZ Manuel Humberto, ,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
97,150735,JUÁREZ Myrian del Valle, ,Fte. Cívico y Social de Catamarca,Catamarca,AFIRMATIVO
97,150736,JUNIO Juan Carlos Isaac, ,Juntos por Argentina,C.A.B.A.,AFIRMATIVO
97,150737,KOSINER Pablo Francisco Juan, ,Frente para la Victoria - PJ,Salta,AFIRMATIVO
97,150738,KRONEBERGER Daniel Ricardo, ,Unión Cívica Radical,La Pampa,AUSENTE
97,150739,KUNKEL Carlos Miguel, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150740,LAGORIA Elia Nelly, ,Trabajo y Dignidad,Chubut,AUSENTE
97,150741,LANDAU Jorge Alberto, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150742,LARROQUE Andrés, ,Frente para la Victoria - PJ,C.A.B.A.,AFIRMATIVO
97,150743,LEVERBERG Stella Maris, ,Fte. Renov. de la Conc. Misiones - FPV-PJ,Misiones,AFIRMATIVO
97,150744,LINARES María Virginia, ,GEN,Buenos Aires,ABSTENCION
97,150745,LÓPEZ Pablo Sebastián, ,Fte. de Izquierda y de los Trabajadores,Salta,ABSTENCION
97,150746,LOTTO Inés Beatriz, ,Frente para la Victoria - PJ,Formosa,AFIRMATIVO
97,150747,LOUSTEAU Martín, ,SUMA + UNEN,C.A.B.A.,AUSENTE
97,150748,LOZANO Claudio Raúl, ,Unidad Popular,C.A.B.A.,AUSENTE
97,150749,MAC ALLISTER Carlos Javier, ,Unión PRO,La Pampa,ABSTENCION
97,150750,MADERA Teresita, ,Frente para la Victoria - PJ,La Rioja,AFIRMATIVO
97,150751,MAGARIO Verónica María, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150752,MAJDALANI Silvia Cristina, ,Unión PRO,C.A.B.A.,AUSENTE
97,150753,MALDONADO Victor Hugo, ,Unión Cívica Radical,Chaco,AFIRMATIVO
97,150754,MARCOPULOS Juan Fernando, ,Frente para la Victoria - PJ,Corrientes,AFIRMATIVO
97,150755,MARTINEZ Julio César, ,Unión Cívica Radical,La Rioja,ABSTENCION
97,150756,MARTÍNEZ Oscar Anselmo, ,Movimiento Solidario Popular,Tierra del Fuego,AFIRMATIVO
97,150757,MARTINEZ Oscar Ariel, ,Frente Renovador ,Santa Fe,AUSENTE
97,150758,MARTÍNEZ Soledad, ,Unión PRO,Buenos Aires,ABSTENCION
97,150759,MARTÍNEZ CAMPOS Gustavo José, ,Frente para la Victoria - PJ,Chaco,AFIRMATIVO
97,150760,MASSA Sergio Tomás, ,Frente Renovador ,Buenos Aires,AFIRMATIVO
97,150761,MAZURE Liliana Amalia, ,Frente para la Victoria - PJ,C.A.B.A.,AFIRMATIVO
97,150762,MENDOZA Mayra Soledad, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150763,MENDOZA Sandra Marcela, ,Frente para la Victoria - PJ,Chaco,AFIRMATIVO
97,150764,MESTRE Diego Matías, ,Unión Cívica Radical,Córdoba,ABSTENCION
97,150765,METAZA Mario Alfredo, ,Frente para la Victoria - PJ,Santa Cruz,AFIRMATIVO
97,150767,MONGELO José Ricardo, ,Frente para la Victoria - PJ,Chaco,AFIRMATIVO
97,150768,MORENO Carlos Julio, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150769,MOYANO Juan Facundo, ,"Cultura, Educación y Trabajo",Buenos Aires,AFIRMATIVO
97,150770,MULLER Edgar Raúl, ,Compromiso Federal,Córdoba,AUSENTE
97,150771,NAVARRO Graciela, ,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
97,150772,NEGRI Mario Raúl, ,Unión Cívica Radical,Córdoba,ABSTENCION
97,150773,OLIVA Cristian Rodolfo, ,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
97,150774,OLIVARES Héctor Enrique, ,Unión Cívica Radical,La Rioja,ABSTENCION
97,150775,OPORTO Mario Néstor, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150776,ORTIZ Mariela, ,Frente para la Victoria - PJ,Jujuy,AFIRMATIVO
97,150777,ORTIZ CORREA Marcia Sara María, ,Frente para la Victoria - PJ,Catamarca,AFIRMATIVO
97,150778,PAIS Juan Mario, ,Frente para la Victoria - PJ,Chubut,AFIRMATIVO
97,150779,PARRILLI Nanci María Agustina , ,Frente para la Victoria - PJ,Neuquén,AFIRMATIVO
97,150780,PASTORI Luis Mario, ,Unión Cívica Radical,Misiones,ABSTENCION
97,150781,PASTORIZA Mirta Ameliana, ,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
97,150782,PEDRINI Juan Manuel, ,Frente para la Victoria - PJ,Chaco,AFIRMATIVO
97,150783,PERALTA Fabián Francisco, ,GEN,Santa Fe,ABSTENCION
97,150784,PEREZ José Adrián, ,Frente Renovador ,Buenos Aires,AFIRMATIVO
97,150785,PÉREZ Martín Alejandro, ,Frente para la Victoria - PJ,Tierra del Fuego,AFIRMATIVO
97,150786,PERIE Julia Argentina, ,Frente para la Victoria - PJ,Misiones,AFIRMATIVO
97,150787,PEROTTI Omar Angel, ,Frente para la Victoria - PJ,Santa Fe,AFIRMATIVO
97,150788,PERRONI Ana María, ,Frente para la Victoria - PJ,Corrientes,AFIRMATIVO
97,150789,PETRI Luis Alfonso, ,Unión Cívica Radical,Mendoza,ABSTENCION
97,150790,PIETRAGALLA CORTI Horacio, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150791,PINEDO Federico, ,Unión PRO,C.A.B.A.,ABSTENCION
97,150792,PITROLA Néstor Antonio, ,Fte. de Izquierda y de los Trabajadores,Buenos Aires,ABSTENCION
97,150793,PLAINI Francisco Omar, ,"Cultura, Educación y Trabajo",Buenos Aires,AFIRMATIVO
97,150794,PORTELA Agustín Alberto, ,Unión Cívica Radical,Corrientes,ABSTENCION
97,150795,PRADINES Roberto Arturo, ,Demócrata de Mendoza,Mendoza,ABSTENCION
97,150796,PUCHETA Ramona, ,Frente por la Inclusión Social,Buenos Aires,AFIRMATIVO
97,150797,PUIGGROS Adriana Victoria, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150798,RAIMUNDI Carlos, ,Juntos por Argentina,Buenos Aires,AFIRMATIVO
97,150799,RASINO Elida Elena, ,Partido Socialista,Santa Fe,ABSTENCION
97,150800,RECALDE Héctor Pedro, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150801,REDCZUK Oscar Felipe, ,Fte. Renov. de la Conc. Misiones - FPV-PJ,Misiones,AFIRMATIVO
97,150802,RICCARDO José Luis, ,Unión Cívica Radical,San Luis,AFIRMATIVO
97,150803,RIESTRA Antonio Sabino, ,Unidad Popular,Santa Fe,AFIRMATIVO
97,150804,RIOS Liliana María, ,Frente para la Victoria - PJ,Entre Ríos,AFIRMATIVO
97,150805,RISKO Silvia Lucrecia, ,Fte. Renov. de la Conc. Misiones - FPV-PJ,Misiones,AFIRMATIVO
97,150806,RIVAROLA Rubén Armando, ,Frente para la Victoria - PJ,Jujuy,AFIRMATIVO
97,150807,RIVAS Jorge, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150808,ROBERTI Alberto Oscar, ,Frente Renovador ,Buenos Aires,AUSENTE
97,150809,ROGEL Fabián Dulio, ,Unión Cívica Radical,Entre Ríos,AUSENTE
97,150810,ROMERO Oscar Alberto, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150811,ROSSI Blanca Araceli, ,Unión por Córdoba,Córdoba,AFIRMATIVO
97,150812,RUBÍN Carlos Gustavo, ,Frente para la Victoria - PJ,Corrientes,AFIRMATIVO
97,150813,RUIZ Aida Delia, ,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
97,150814,SACCA Luis Fernando, ,Unión Cívica Radical,Tucumán,ABSTENCION
97,150815,SALINO Fernando Aldo, ,Compromiso Federal,San Luis,AFIRMATIVO
97,150816,SAN MARTÍN Adrián, ,Movimiento Popular Neuquino,Neuquén,AFIRMATIVO
97,150817,SÁNCHEZ Fernando, ,Coalición Cívica - ARI - UNEN,C.A.B.A.,ABSTENCION
97,150818,SANTILLÁN Walter Marcelo, ,Frente para la Victoria - PJ,Tucumán,AFIRMATIVO
97,150819,SANTIN Eduardo, ,Unión Cívica Radical,Buenos Aires,ABSTENCION
97,150820,SCAGLIA Gisela, ,Unión PRO,Santa Fe,ABSTENCION
97,150821,SCHIARETTI Juan, ,Unión por Córdoba,Córdoba,AUSENTE
97,150822,SCHMIDT LIERMANN Cornelia, ,Unión PRO,C.A.B.A.,ABSTENCION
97,150823,SCHWINDT María Liliana, ,Frente Renovador ,Buenos Aires,AFIRMATIVO
97,150824,SCIUTTO Rubén Darío, ,Peronismo mas al Sur,Tierra del Fuego,AUSENTE
97,150825,SEGARRA Adela Rosa, ,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
97,150826,SEMHAN María de las Mercedes, ,Unión Cívica Radical,Corrientes,AUSENTE
97,150827,SEMINARA Eduardo Jorge, ,Frente para la Victoria - PJ,Santa Fe,AFIRMATIVO
97,150828,SIMONCINI Silvia Rosa, ,Frente para la Victoria - PJ,Santa Fe,AFIRMATIVO
97,150829,SOLÁ Felipe Carlos, ,Frente Renovador ,Buenos Aires,AFIRMATIVO
